Language,Training Hours,CER
jic_Latn,29.4,2.8
jiv_Latn,21.7,1.7
jmc_Latn,20.4,2.6
jmd_Latn,4.5,2.2
jmx_Latn,7.1,18.5
jpn_Jpan,934.8,19.2
jqr_Latn,7.0,11.6
juk_Latn,6.5,25.0
jun_Orya,60.4,1.3
juo_Latn,7.2,32.5
juy_Orya,0.9,4.6
jvn_Latn,24.2,0.4
kaa_Cyrl,18.6,2.6
kab_Latn,159.5,6.2
kac_Latn,23.7,0.7
kai_Latn,7.4,36.5
kaj_Latn,6.1,29.2
kak_Latn,45.2,0.5
kam_Latn,51.1,10.3
kan_Knda,220.6,2.3
kao_Latn,16.8,2.0
kaq_Latn,63.1,1.3
kas_Arab,7.3,165.8
kat_Geor,327.0,1.9
kay_Latn,3.6,2.6
kaz_Cyrl,407.0,2.6
kbd_Cyrl,139.5,6.3
kbl_Latn,6.7,34.8
kbo_Latn,55.6,0.8
kbp_Latn,111.4,2.1
kbq_Latn,20.1,4.1
kbr_Latn,22.9,1.5
kbt_Latn,6.1,25.0
kby_Latn,8.6,1.2
kca_Cyrl,2.0,3.7
kcg_Latn,49.8,2.2
kcn_Latn,6.1,16.1
kcq_Latn,7.3,23.3
kdc_Latn,41.1,0.3
kde_Latn,27.5,0.8
kdh_Latn,25.6,1.5
kdi_Latn,18.5,0.9
kdj_Latn,21.6,1.2
kdl_Latn,35.9,2.3
kdn_Latn,20.7,1.3
kdt_Khmr,44.9,1.0
kea_Latn,111.3,3.6
kek_Latn,47.0,2.0
ken_Latn,21.8,4.8
keo_Latn,23.1,0.9
ker_Latn,22.1,2.5
keu_Latn,6.8,22.7
key_Telu,26.2,1.6
kez_Latn,19.6,2.2
kfb_Deva,20.6,1.7
kff_Telu,19.0,4.8
kfk_Deva,4.5,23.4
kfq_Deva,5.2,31.4
kfr_Gujr,4.3,46.1
kfw_Latn,41.3,1.7
kfx_Deva,19.8,3.8
kha_Latn,7.7,36.9
khg_Tibt,40.5,3.5
khm_Khmr,197.4,4.8
khq_Latn,16.0,1.0
khw_Arab,13.0,4.5
kia_Latn,37.7,1.0
kij_Latn,46.8,1.2
kik_Latn,515.0,0.9
kin_Latn,4233.6,4.4
kir_Cyrl,221.2,2.6
kjb_Latn,23.8,2.3
kjc_Latn,6.7,14.8
kje_Latn,57.4,0.9
kjg_Latn,2.3,3.0
kjh_Cyrl,39.0,1.2
kjk_Latn,6.4,15.0
kki_Latn,20.4,1.4
kkj_Latn,23.3,1.5
kle_Deva,36.0,3.1
kln_Latn,13.3,16.0
kls_Latn,7.0,3.6
klu_Latn,20.6,4.3
klv_Latn,21.5,1.0
klw_Latn,1.1,1.5
kma_Latn,20.8,2.0
kmd_Latn,45.0,0.6
kml_Latn,43.8,0.5
kmr_Arab,29.3,1.2
kmr_Cyrl,38.0,0.4
kmr_Latn,213.8,3.4
kmu_Latn,59.6,4.3
kmy_Latn,6.7,20.2
kna_Latn,8.4,17.6
knb_Latn,42.0,0.6
knc_Latn,6.6,14.2
kne_Latn,43.8,0.3
knf_Latn,18.2,1.5
knj_Latn,27.4,2.7
knk_Latn,19.4,4.8
knn_Deva,9.2,20.9
kno_Latn,23.8,4.8
kog_Latn,65.7,0.8
kol_Latn,5.1,27.5
koo_Latn,11.9,13.2
kor_Hang,5711.6,5.8
kpo_Latn,4.9,32.8
kpq_Latn,56.7,1.4
kps_Latn,1.2,6.4
kpv_Cyrl,35.8,0.9
kpy_Cyrl,2.3,4.0
kpz_Latn,18.2,2.3
kqe_Latn,54.1,0.3
kqo_Latn,3.9,39.4
kqp_Latn,23.8,1.7
kqr_Latn,53.2,0.6
kqy_Ethi,20.4,1.9
krc_Cyrl,40.4,0.4
kri_Latn,66.9,0.4
krj_Latn,22.4,0.5
krl_Latn,18.8,1.2
krr_Khmr,5.7,2.9
krs_Latn,54.6,1.5
kru_Deva,48.5,2.6
krx_Latn,6.0,28.4
ksb_Latn,38.0,0.7
ksd_Latn,6.4,10.2
ksf_Latn,14.4,35.3
ksr_Latn,60.1,0.8
kss_Latn,51.5,4.0
ksz_Deva,7.1,35.6
ktb_Ethi,18.5,2.2
ktj_Latn,51.0,2.0
kto_Latn,6.3,25.1
kua_Latn,67.5,10.4
kub_Latn,29.0,2.0
kue_Latn,25.6,1.5
kuh_Latn,6.1,19.5
kum_Cyrl,17.9,0.9
kus_Latn,15.5,3.0
kvn_Latn,56.1,1.9
kvw_Latn,1.7,2.4
kvx_Arab,8.0,3.1
kwd_Latn,54.5,3.5
kwf_Latn,55.6,3.1
kwi_Latn,29.1,1.3
kwm_Latn,6.7,14.0
kxc_Ethi,20.2,3.2
kxf_Latn,11.9,3.0
kxm_Thai,18.6,0.8
kxp_Arab,13.9,23.5
kxv_Orya,1.0,2.9
kyb_Latn,42.8,0.5
kyc_Latn,22.8,1.1
kyf_Latn,36.2,2.0
kyg_Latn,4.0,9.2
kyo_Latn,1.5,3.4
kyq_Latn,21.6,2.3
kyu_Kali,31.7,2.3
kyx_Latn,6.1,12.6
kyz_Latn,67.9,1.6
kzf_Latn,52.8,0.4
kzi_Latn,6.4,21.6
lac_Latn,33.4,1.5
lag_Latn,6.6,18.0
laj_Latn,17.3,2.1
lam_Latn,20.3,1.6
lao_Laoo,184.8,6.6
las_Latn,18.8,3.2
lat_Latn,35.7,0.7
lav_Latn,62.3,1.7
law_Latn,70.5,0.6
lbj_Tibt,1.3,5.6
lbw_Latn,49.0,0.5
lcm_Latn,0.7,25.7
lcp_Thai,40.1,0.9
ldb_Latn,3.1,36.7
led_Latn,6.9,8.4
lee_Latn,20.0,2.3
lef_Latn,22.2,1.5
lem_Latn,27.7,4.1
lew_Latn,51.1,0.3
lex_Latn,63.7,2.0
lgg_Latn,21.1,1.3
lgl_Latn,26.9,4.7
